Unnamed: 0,Unnamed: 0.1,_sent_time_stamp,distance,duration,duration_in_traffic,Orig_lat,Orig_lng,Dest_lat,Dest_lng,MajorMinor,Borough,Lane_1_x,Lane_2,Note,Date,Hour,Direction,Site,Roadname,Lane_1_y,Road Class,Lane_count,dft_capacity,speed_limit(kph),Count,id,Volume,time_norm,time_norm_ratio,speed,BPR_free_flow_speed,free_flow_speed,capacity,max_capacity,saturation,BPR_speed
2021,2021,1457326806,1039,161,107,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,5,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,55,15NORTHBOUND,55,7,1.07,9.71028037383,13.3333333333,10.39,308,713,0.178571428571,12.921302019
2022,2022,1457330405,1039,161,122,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,6,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,121,15NORTHBOUND,121,22,1.22,8.51639344262,13.3333333333,10.39,308,713,0.392857142857,11.5506445672
2023,2023,1457334006,1039,161,160,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,7,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,171,15NORTHBOUND,171,60,1.6,6.49375,13.3333333333,10.39,308,713,0.555194805195,10.1917999543
2024,2024,1457337603,1039,161,164,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,8,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,334,15NORTHBOUND,334,64,1.64,6.33536585366,13.3333333333,10.39,308,713,1.08441558442,6.12757161774
2025,2025,1457341204,1039,161,182,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,9,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,620,15NORTHBOUND,620,82,1.82,5.70879120879,13.3333333333,10.39,308,713,2.01298701299,2.63915781977
2026,2026,1457344804,1039,161,198,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,10,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,493,15NORTHBOUND,493,98,1.98,5.24747474747,13.3333333333,10.39,308,713,1.60064935065,3.74313309442
2027,2027,1457348407,1039,161,158,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,11,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,510,15NORTHBOUND,510,58,1.58,6.57594936709,13.3333333333,10.39,308,713,1.65584415584,3.56332848777
2028,2028,1457352007,1039,161,164,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,12,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,556,15NORTHBOUND,556,64,1.64,6.33536585366,13.3333333333,10.39,308,713,1.80519480519,3.13082508251
2029,2029,1457355607,1039,161,172,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,13,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,579,15NORTHBOUND,579,72,1.72,6.04069767442,13.3333333333,10.39,308,713,1.87987012987,2.94080127721
2030,2030,1457359207,1039,161,166,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,14,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,551,15NORTHBOUND,551,66,1.66,6.25903614458,13.3333333333,10.39,308,713,1.78896103896,3.17431476625
2031,2031,1457362807,1039,161,173,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,15,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,552,15NORTHBOUND,552,73,1.73,6.00578034682,13.3333333333,10.39,308,713,1.79220779221,3.16555212963
2032,2032,1457366407,1039,161,233,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,16,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,632,15NORTHBOUND,632,133,2.33,4.45922746781,13.3333333333,10.39,308,713,2.05194805195,2.55893999719
2033,2033,1457370007,1039,161,195,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,17,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,640,15NORTHBOUND,640,95,1.95,5.32820512821,13.3333333333,10.39,308,713,2.07792207792,2.50732130208
2034,2034,1457373607,1039,161,185,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,18,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,665,15NORTHBOUND,665,85,1.85,5.61621621622,13.3333333333,10.39,308,713,2.15909090909,2.35501626981
2035,2035,1457377204,1039,161,176,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,19,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,624,15NORTHBOUND,624,76,1.76,5.90340909091,13.3333333333,10.39,308,713,2.02597402597,2.61203810783
2036,2036,1457380807,1039,161,164,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,20,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,545,15NORTHBOUND,545,64,1.64,6.33536585366,13.3333333333,10.39,308,713,1.76948051948,3.22758059893
2037,2037,1457384403,1039,161,137,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,21,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,460,15NORTHBOUND,460,37,1.37,7.58394160584,13.3333333333,10.39,308,713,1.49350649351,4.12724931259
2038,2038,1457388005,1039,161,139,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,07/03/2016,22,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,361,15NORTHBOUND,361,39,1.39,7.47482014388,13.3333333333,10.39,308,713,1.17207792208,5.61695198762
2044,2044,1457413206,1039,161,123,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,5,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,50,15NORTHBOUND,50,23,1.23,8.44715447154,13.3333333333,10.39,308,713,0.162337662338,12.9909754461
2045,2045,1457416804,1039,161,126,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,6,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,136,15NORTHBOUND,136,26,1.26,8.24603174603,13.3333333333,10.39,308,713,0.441558441558,11.1578452129
2046,2046,1457420403,1039,161,147,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,7,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,214,15NORTHBOUND,214,47,1.47,7.06802721088,13.3333333333,10.39,308,713,0.694805194805,8.99227451538
2047,2047,1457424003,1039,161,173,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,8,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,350,15NORTHBOUND,350,73,1.73,6.00578034682,13.3333333333,10.39,308,713,1.13636363636,5.81905620679
2048,2048,1457427603,1039,161,175,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,9,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,632,15NORTHBOUND,632,75,1.75,5.93714285714,13.3333333333,10.39,308,713,2.05194805195,2.55893999719
2049,2049,1457431204,1039,161,171,51.5238399,0.0574946,51.5329517,0.0546206,Major,Newham,N,,Single carriage,08/03/2016,10,NORTHBOUND,15,"A117 High St South, E.Ham E6",N,Principal,1.0,1650.0,48.0,520,15NORTHBOUND,520,71,1.71,6.07602339181,13.3333333333,10.39,308,713,1.68831168831,3.46284696366
