Unnamed: 0,Unnamed: 0.1,_sent_time_stamp,distance,duration,duration_in_traffic,Orig_lat,Orig_lng,Dest_lat,Dest_lng,MajorMinor,Borough,Lane_1_x,Lane_2,Note,Date,Hour,Direction,Site,Roadname,Lane_1_y,Road Class,Lane_count,dft_capacity,speed_limit(kph),Count,id,Volume,time_norm,time_norm_ratio,speed,BPR_free_flow_speed,free_flow_speed,capacity,max_capacity,saturation,BPR_speed
2955,2955,1457326808,656,114,79,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,5,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,55,19WESTBOUND,55,6,1.08219178082,8.30379746835,13.3333333333,8.98630136986,676,865,0.0813609467456,13.2456523645
2956,2956,1457330407,656,114,79,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,6,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,154,19WESTBOUND,154,6,1.08219178082,8.30379746835,13.3333333333,8.98630136986,676,865,0.227810650888,12.6755039263
2957,2957,1457334007,656,114,94,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,7,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,483,19WESTBOUND,483,21,1.28767123288,6.97872340426,13.3333333333,8.98630136986,676,865,0.71449704142,8.82706400199
2958,2958,1457337605,656,114,170,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,8,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,736,19WESTBOUND,736,97,2.32876712329,3.85882352941,13.3333333333,8.98630136986,676,865,1.08875739645,6.10111561487
2959,2959,1457341205,656,114,267,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,9,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,757,19WESTBOUND,757,194,3.65753424658,2.45692883895,13.3333333333,8.98630136986,676,865,1.11982248521,5.91540334782
2960,2960,1457344805,656,114,177,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,10,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,701,19WESTBOUND,701,104,2.42465753425,3.70621468927,13.3333333333,8.98630136986,676,865,1.03698224852,6.42467429443
2961,2961,1457348408,656,114,159,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,11,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,620,19WESTBOUND,620,86,2.17808219178,4.12578616352,13.3333333333,8.98630136986,676,865,0.917159763314,7.24172466689
2962,2962,1457352008,656,114,170,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,12,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,537,19WESTBOUND,537,97,2.32876712329,3.85882352941,13.3333333333,8.98630136986,676,865,0.794378698225,8.17475576187
2963,2963,1457355608,656,114,124,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,13,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,597,19WESTBOUND,597,51,1.69863013699,5.29032258065,13.3333333333,8.98630136986,676,865,0.883136094675,7.49093397755
2964,2964,1457359208,656,114,149,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,14,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,582,19WESTBOUND,582,76,2.04109589041,4.40268456376,13.3333333333,8.98630136986,676,865,0.860946745562,7.6574253278
2965,2965,1457362809,656,114,204,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,15,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,615,19WESTBOUND,615,131,2.79452054795,3.21568627451,13.3333333333,8.98630136986,676,865,0.909763313609,7.29526585018
2966,2966,1457366409,656,114,252,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,16,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,680,19WESTBOUND,680,179,3.45205479452,2.60317460317,13.3333333333,8.98630136986,676,865,1.00591715976,6.62733564215
2967,2967,1457370009,656,114,352,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,17,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,659,19WESTBOUND,659,279,4.82191780822,1.86363636364,13.3333333333,8.98630136986,676,865,0.974852071006,6.83642690417
2968,2968,1457373608,656,114,294,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,18,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,564,19WESTBOUND,564,221,4.02739726027,2.23129251701,13.3333333333,8.98630136986,676,865,0.834319526627,7.86122235526
2969,2969,1457377206,656,114,219,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,19,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,665,19WESTBOUND,665,146,3.0,2.99543378995,13.3333333333,8.98630136986,676,865,0.983727810651,6.77603042405
2970,2970,1457380808,656,114,126,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,20,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,616,19WESTBOUND,616,53,1.72602739726,5.20634920635,13.3333333333,8.98630136986,676,865,0.91124260355,7.2845292066
2971,2971,1457384405,656,114,114,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,21,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,432,19WESTBOUND,432,41,1.56164383562,5.75438596491,13.3333333333,8.98630136986,676,865,0.639053254438,9.46708100269
2972,2972,1457388007,656,114,86,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,07/03/2016,22,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,369,19WESTBOUND,369,13,1.17808219178,7.62790697674,13.3333333333,8.98630136986,676,865,0.545857988166,10.2725227617
2978,2978,1457413208,656,114,77,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,5,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,53,19WESTBOUND,53,4,1.05479452055,8.51948051948,13.3333333333,8.98630136986,676,865,0.0784023668639,13.2518749705
2979,2979,1457416805,656,114,83,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,6,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,178,19WESTBOUND,178,10,1.13698630137,7.90361445783,13.3333333333,8.98630136986,676,865,0.263313609467,12.4688194928
2980,2980,1457420405,656,114,109,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,7,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,482,19WESTBOUND,482,36,1.49315068493,6.01834862385,13.3333333333,8.98630136986,676,865,0.713017751479,8.83942163548
2981,2981,1457424005,656,114,208,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,8,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,744,19WESTBOUND,744,135,2.84931506849,3.15384615385,13.3333333333,8.98630136986,676,865,1.10059171598,6.0296298642
2982,2982,1457427605,656,114,243,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,9,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,704,19WESTBOUND,704,170,3.32876712329,2.69958847737,13.3333333333,8.98630136986,676,865,1.04142011834,6.39624659176
2983,2983,1457431206,656,114,147,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,10,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,644,19WESTBOUND,644,74,2.01369863014,4.46258503401,13.3333333333,8.98630136986,676,865,0.952662721893,6.98970913941
2984,2984,1457434805,656,114,140,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,11,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,577,19WESTBOUND,577,67,1.91780821918,4.68571428571,13.3333333333,8.98630136986,676,865,0.853550295858,7.71360269062
2985,2985,1457438409,656,114,115,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,12,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,572,19WESTBOUND,572,42,1.57534246575,5.70434782609,13.3333333333,8.98630136986,676,865,0.846153846154,7.77011494253
2986,2986,1457442008,656,114,128,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,13,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,586,19WESTBOUND,586,55,1.75342465753,5.125,13.3333333333,8.98630136986,676,865,0.866863905325,7.61272674873
2987,2987,1457445606,656,114,107,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,14,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,637,19WESTBOUND,637,34,1.46575342466,6.1308411215,13.3333333333,8.98630136986,676,865,0.942307692308,7.06235716618
2988,2988,1457449209,656,114,157,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,15,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,587,19WESTBOUND,587,84,2.15068493151,4.17834394904,13.3333333333,8.98630136986,676,865,0.868343195266,7.6015861035
2989,2989,1457452806,656,114,278,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,16,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,717,19WESTBOUND,717,205,3.80821917808,2.35971223022,13.3333333333,8.98630136986,676,865,1.06065088757,6.27456795717
2990,2990,1457456405,656,114,168,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,17,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,665,19WESTBOUND,665,95,2.30136986301,3.90476190476,13.3333333333,8.98630136986,676,865,0.983727810651,6.77603042405
2991,2991,1457460006,656,114,265,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,18,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,592,19WESTBOUND,592,192,3.6301369863,2.47547169811,13.3333333333,8.98630136986,676,865,0.87573964497,7.54608804782
2992,2992,1457463605,656,114,291,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,19,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,534,19WESTBOUND,534,218,3.98630136986,2.25429553265,13.3333333333,8.98630136986,676,865,0.789940828402,8.21014770059
2993,2993,1457467208,656,114,171,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,20,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,606,19WESTBOUND,606,98,2.34246575342,3.83625730994,13.3333333333,8.98630136986,676,865,0.896449704142,7.39253169492
2994,2994,1457470809,656,114,93,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,21,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,461,19WESTBOUND,461,20,1.27397260274,7.05376344086,13.3333333333,8.98630136986,676,865,0.681952662722,9.1008822046
2995,2995,1457474409,656,114,84,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,08/03/2016,22,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,341,19WESTBOUND,341,11,1.15068493151,7.80952380952,13.3333333333,8.98630136986,676,865,0.504437869822,10.6287639459
3000,3000,1457499608,656,114,79,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,09/03/2016,5,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,46,19WESTBOUND,46,6,1.08219178082,8.30379746835,13.3333333333,8.98630136986,676,865,0.0680473372781,13.2718786939
3001,3001,1457503209,656,114,84,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,09/03/2016,6,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,142,19WESTBOUND,142,11,1.15068493151,7.80952380952,13.3333333333,8.98630136986,676,865,0.210059171598,12.7698648894
3002,3002,1457506810,656,114,105,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,09/03/2016,7,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,462,19WESTBOUND,462,32,1.43835616438,6.24761904762,13.3333333333,8.98630136986,676,865,0.683431952663,9.088352575
3003,3003,1457510405,656,114,165,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,09/03/2016,8,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,681,19WESTBOUND,681,92,2.2602739726,3.97575757576,13.3333333333,8.98630136986,676,865,1.0073964497,6.61753935525
3004,3004,1457514008,656,114,195,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,09/03/2016,9,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,656,19WESTBOUND,656,122,2.67123287671,3.3641025641,13.3333333333,8.98630136986,676,865,0.970414201183,6.86682174177
3005,3005,1457517609,656,114,140,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,09/03/2016,10,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,728,19WESTBOUND,728,67,1.91780821918,4.68571428571,13.3333333333,8.98630136986,676,865,1.07692307692,6.17351598174
3006,3006,1457521210,656,114,118,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,09/03/2016,11,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,562,19WESTBOUND,562,45,1.61643835616,5.5593220339,13.3333333333,8.98630136986,676,865,0.831360946746,7.88412998283
3007,3007,1457524806,656,114,112,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,09/03/2016,12,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,540,19WESTBOUND,540,39,1.53424657534,5.85714285714,13.3333333333,8.98630136986,676,865,0.798816568047,8.1394719218
3008,3008,1457528407,656,114,132,51.6092072,-0.2660153,51.6070365,-0.2747654,Major,Barnet,W,,Single carriage,09/03/2016,13,WESTBOUND,19,"A5109 Deansbrook Rd, Edgware",W,Principal,1.0,1650.0,48.0,576,19WESTBOUND,576,59,1.80821917808,4.9696969697,13.3333333333,8.98630136986,676,865,0.852071005917,7.72487845778
