Unnamed: 0,Unnamed: 0.1,_sent_time_stamp,distance,duration,duration_in_traffic,Orig_lat,Orig_lng,Dest_lat,Dest_lng,MajorMinor,Borough,Lane_1_x,Lane_2,Note,Date,Hour,Direction,Site,Roadname,Lane_1_y,Road Class,Lane_count,dft_capacity,speed_limit(kph),Count,id,Volume,time_norm,time_norm_ratio,speed,BPR_free_flow_speed,free_flow_speed,capacity,max_capacity,saturation,BPR_speed
1087,1087,1457326805,561,63,49,51.412392,0.0743042,51.4088694,0.0800096,Major,Bromley,S,,Single carriage,07/03/2016,5,SOUTHBOUND,11,"A208 Royal Parade, Chislehurst",S,Principal,1.0,1650.0,48.0,26,11SOUTHBOUND,26,6,1.13953488372,11.4489795918,13.3333333333,13.0465116279,452,714,0.0575221238938,13.2893615637
1088,1088,1457330404,561,63,50,51.412392,0.0743042,51.4088694,0.0800096,Major,Bromley,S,,Single carriage,07/03/2016,6,SOUTHBOUND,11,"A208 Royal Parade, Chislehurst",S,Principal,1.0,1650.0,48.0,68,11SOUTHBOUND,68,7,1.16279069767,11.22,13.3333333333,13.0465116279,452,714,0.150442477876,13.0382396487
1089,1089,1457334004,561,63,57,51.412392,0.0743042,51.4088694,0.0800096,Major,Bromley,S,,Single carriage,07/03/2016,7,SOUTHBOUND,11,"A208 Royal Parade, Chislehurst",S,Principal,1.0,1650.0,48.0,163,11SOUTHBOUND,163,14,1.32558139535,9.84210526316,13.3333333333,13.0465116279,452,714,0.360619469027,11.7989255276
1090,1090,1457337602,561,63,71,51.412392,0.0743042,51.4088694,0.0800096,Major,Bromley,S,,Single carriage,07/03/2016,8,SOUTHBOUND,11,"A208 Royal Parade, Chislehurst",S,Principal,1.0,1650.0,48.0,436,11SOUTHBOUND,436,28,1.6511627907,7.9014084507,13.3333333333,13.0465116279,452,714,0.964601769912,6.90682893847
1091,1091,1457341202,561,63,67,51.412392,0.0743042,51.4088694,0.0800096,Major,Bromley,S,,Single carriage,07/03/2016,9,SOUTHBOUND,11,"A208 Royal Parade, Chislehurst",S,Principal,1.0,1650.0,48.0,577,11SOUTHBOUND,577,24,1.55813953488,8.37313432836,13.3333333333,13.0465116279,452,714,1.27654867257,5.07052495534
1092,1092,1457344802,561,63,57,51.412392,0.0743042,51.4088694,0.0800096,Major,Bromley,S,,Single carriage,07/03/2016,10,SOUTHBOUND,11,"A208 Royal Parade, Chislehurst",S,Principal,1.0,1650.0,48.0,478,11SOUTHBOUND,478,14,1.32558139535,9.84210526316,13.3333333333,13.0465116279,452,714,1.05752212389,6.29419792909
1093,1093,1457348405,561,63,57,51.412392,0.0743042,51.4088694,0.0800096,Major,Bromley,S,,Single carriage,07/03/2016,11,SOUTHBOUND,11,"A208 Royal Parade, Chislehurst",S,Principal,1.0,1650.0,48.0,417,11SOUTHBOUND,417,14,1.32558139535,9.84210526316,13.3333333333,13.0465116279,452,714,0.922566371681,7.20281267325
1094,1094,1457352005,561,63,61,51.412392,0.0743042,51.4088694,0.0800096,Major,Bromley,S,,Single carriage,07/03/2016,12,SOUTHBOUND,11,"A208 Royal Parade, Chislehurst",S,Principal,1.0,1650.0,48.0,447,11SOUTHBOUND,447,18,1.41860465116,9.19672131148,13.3333333333,13.0465116279,452,714,0.988938053097,6.74082084302
1095,1095,1457355605,561,63,59,51.412392,0.0743042,51.4088694,0.0800096,Major,Bromley,S,,Single carriage,07/03/2016,13,SOUTHBOUND,11,"A208 Royal Parade, Chislehurst",S,Principal,1.0,1650.0,48.0,489,11SOUTHBOUND,489,16,1.37209302326,9.50847457627,13.3333333333,13.0465116279,452,714,1.08185840708,6.14321099021
1096,1096,1457359205,561,63,61,51.412392,0.0743042,51.4088694,0.0800096,Major,Bromley,S,,Single carriage,07/03/2016,14,SOUTHBOUND,11,"A208 Royal Parade, Chislehurst",S,Principal,1.0,1650.0,48.0,486,11SOUTHBOUND,486,18,1.41860465116,9.19672131148,13.3333333333,13.0465116279,452,714,1.07522123894,6.18400302686
